Ano,Trimestre,Arquivo,Receita,EBITDA,Lucro_liquido,Lucro_bruto,Margem_EBITDA,Margem_liquida,Despesas,Divida_liquida,Investimento_capital,Receita_perdida,ROE,ROA,Fluxo_Caixa_Operacional,Fluxo_Caixa_Livre,Fluxo_Caixa_Investimento,Fluxo_Caixa_Financiamento,Divida_Bruta,Divida_Curto_Prazo,Divida_Longo_Prazo,DividendosProducao,Capacidade,Falha_maquina,Horas_paradas,Unidades_perdidas,Energia_consumida_kwh,Tipo_evento,Descricao_falha,Responsavel,Linha_producao,Custo_manutencao,Receita_impactada,Perda_eficiencia,Capacidade_utilizada
2021,3T,2021\textos\2021_3T_RR.txt,2.871 milhões R$,539 milhões R$,Não informado,Não informado,18.8%,Não informado,2.405 milhões R$ (Custo das vendas),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,694.949 + 52.039 = 746.988 mil R$,Não informado,550.904 mil R$,>70%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,3T,2021\textos\2021_3T_RR.txt,21.317 milhões R$,Não informado,5.594 milhões R$,Não informado,Não informado,26.2%,187.782 + 339.687 + 282.268 = 809.737 mil R$,Não informado,Não informado,Não informado,Não informado,Não informado,6.438 milhões R$,Não informado,Não informado,Não informado,13.155 + 20.909 = 34.064 milhões R$,13.155 milhões R$,20.909 milhões R$,971.238 mil R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,3T,2021\textos\2021_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.576 milhões R$,Não informado,-828 milhões R$,-895 milhões R$,Não informado,Não informado,Não informado,6.737 mil R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_RR.txt,21.317 milhões R$,7.023 milhões R$,Não informado,Não informado,32.9%,Não informado,527 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,74%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_RR.txt,Não informado,4.514 milhões R$,3.560 milhões R$,Não informado,27.8%,Não informado,"2,9% da receita líquida; Gratificação especial: 204 milhões R$",1.432 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,14.040 milhões R$,1.767 milhões R$,12.273 milhões R$,Não informado,74%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_RR.txt,6.051 milhões R$,1.790 milhões R$,Não informado,Não informado,29.6%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.400 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_RR.txt,17.753 milhões R$,3.573 milhões R$,Não informado,Não informado,20.1%,Não informado,15.725 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_RR.txt,27.838 milhões R$,5.421 milhões R$,Não informado,Não informado,19.5%,Não informado,22.417 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Acima de 90%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_RR.txt,6.857 milhões R$,2.167 milhões R$,Não informado,Não informado,31.6%,Não informado,5.333 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_RR.txt,2.871 milhões R$,539 milhões R$,Não informado,Não informado,18.8%,Não informado,2.405 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,70%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,3T,2021\textos\2021_4T_RR.txt,6.096 milhões R$,1.983 milhões R$,Não informado,Não informado,32.5%,Não informado,5.795 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,3T,2021\textos\2021_4T_RR.txt,3.029 milhões R$,540 milhões R$,Não informado,Não informado,17.8%,Não informado,2.634 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2020,4T,2021\textos\2021_4T_RR.txt,5.333 milhões R$,1.326 milhões R$,Não informado,Não informado,24.9%,Não informado,3.015 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2020,4T,2021\textos\2021_4T_RR.txt,2.405 milhões R$,395 milhões R$,Não informado,Não informado,16.4%,Não informado,1.839 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,Não informado,2021\textos\2021_4T_RR.txt,78.345 milhões R$,Não informado,15.559 milhões R$,Não informado,Não informado,19.9%,204 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2020,Não informado,2021\textos\2021_4T_RR.txt,43.815 milhões R$,Não informado,2.388 milhões R$,Não informado,Não informado,5.5%,428 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_RR.txt,Não informado,Não informado,15.558.938,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,16.579.668,Não informado,-3.010.084,-2.893.120,Não informado,Não informado,Não informado,1.107.624,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,1T,2021\textos\2021_1T_AP.txt,Não informado,2.537 milhões R$,2.507 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.402 milhões R$,Não informado,Não informado,"20,0 bilhões R$",Não informado,Não informado,765 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,2T,2021\textos\2021_2T_AP.txt,Não informado,3.634 milhões R$,2.507 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.330 milhões R$,Não informado,Não informado,"21,0 bilhões R$",Não informado,Não informado,765 milhões R$,Nova linha de produção de bobinas a quente: 250 mil toneladas/ano; Novo laminador de perfis estruturais: 500 mil toneladas/ano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,3T,2021\textos\2021_3T_AP.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.330 milhões R$,Não informado,Não informado,"19,5 bilhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,4T,2021\textos\2021_4T_AP.txt,Não informado,8.400 milhões R$,5.355 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"3,8 bilhões R$",Não informado,Não informado,"14,0 bilhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,1T,2022\textos\2022_1T_RR.txt,21.555 milhões R$,5.827 milhões R$,2.940 milhões R$,Não informado,27.0%,13.6%,"494 milhões R$ (vendas), 168 milhões R$ (gerais e administrativas), total 326 milhões R$ (1T22); % DVGA/Receita Líquida: 2,4%",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,75%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,1T,2022\textos\2022_1T_RR.txt,19.463 milhões R$,5.220 milhões R$,4.510 milhões R$,Não informado,26.8%,23.2%,"707 milhões R$ (Depreciação/amortização), 361 milhões R$ (Despesas financeiras)",1.767 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,3.000 milhões R$,Não informado,Não informado,12.273 milhões R$,2.084 milhões R$,10.683 milhões R$,973.5 milhões R$,Acima de 90%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Acima de 90%
2022,1T,2022\textos\2022_1T_RR.txt,20.330 milhões R$,Não informado,2.940 milhões R$,Não informado,Não informado,14.5%,Despesas com vendas: 167.891; Despesas gerais e administrativas: 326.416,Não informado,Não informado,Não informado,Não informado,Não informado,2.320 milhões R$,Não informado,-616 milhões R$,Não informado,10.427 milhões R$,9.285 milhões R$,Não informado,340 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,22.968 milhões R$,6.680 milhões R$,4.298 milhões R$,Não informado,29.1%,18.7%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.215 milhões R$,Não informado,Não informado,12.445 milhões R$,Não informado,Não informado,1.200 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2021,1T,2022\textos\2022_1T_RR.txt,16.343 milhões R$,Não informado,2.471 milhões R$,Não informado,Não informado,15.1%,Despesas com vendas: 155.393; Despesas gerais e administrativas: 314.095,Não informado,Não informado,Não informado,Não informado,Não informado,1.569 milhões R$,Não informado,-472 milhões R$,Não informado,12.855 milhões R$,10.875 milhões R$,Não informado,441 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,22.968 milhões R$,6.680 milhões R$,4.300 milhões R$,Não informado,29.1%,18.7%,516 milhões R$,4.700 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,3.200 milhões R$,Não informado,Não informado,12.400 milhões R$,3.550 milhões R$,8.895 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,1T,2022\textos\2022_2T_RR.txt,20.330 milhões R$,5.827 milhões R$,2.940 milhões R$,Não informado,28.7%,14.5%,494 milhões R$,5.200 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,12.800 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,23.000 milhões R$,12.500 milhões R$,Não informado,Não informado,54.3%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,83%
2022,2T,2022\textos\2022_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,9.588 milhões R$,2.288 milhões R$,Não informado,Não informado,23.9%,Não informado,7.481 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,8.573 milhões R$,2.836 milhões R$,Não informado,Não informado,33.1%,Não informado,6.121 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,3.657 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,2.808 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,3.657 milhões R$,928 milhões R$,Não informado,Não informado,25.4%,Não informado,2.808 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,1.894 milhões R$,740 milhões R$,Não informado,Não informado,39.1%,Não informado,1.375 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,22.968 milhões R$,Não informado,4.298 milhões R$,Não informado,Não informado,18.7%,0.565 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,3.857 milhões R$,Não informado,-1.044 milhões R$,-0.695 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_2T_RR.txt,11.523 milhões R$,2.701 milhões R$,1.642 milhões R$,Não informado,23.4%,14.2%,2.219 milhões R$,1.216 milhões R$,Não informado,Não informado,Não informado,Não informado,4.242 milhões R$,Não informado,Não informado,Não informado,2.549 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,Não informado,5.400 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.100 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,21.149 milhões R$,5.369 milhões R$,3.022 milhões R$,Não informado,25.4%,14.3%,555 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.093 milhões R$,Não informado,Não informado,12.856 milhões R$,Não informado,Não informado,Não informado,72%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_3T_RR.txt,22.968 milhões R$,6.680 milhões R$,4.298 milhões R$,Não informado,29.1%,18.7%,516 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.218 milhões R$,Não informado,Não informado,12.445 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,21.317 milhões R$,7.023 milhões R$,4.560 milhões R$,Não informado,32.9%,21.4%,527 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.843 milhões R$,Não informado,Não informado,17.091 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,8.500 milhões R$,5.000 milhões R$,3.022 milhões R$,Não informado,58.8%,35.6%,400 milhões R$,4.266 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,3.100 milhões R$,Não informado,Não informado,12.856 bilhões R$,3.886 bilhões R$,8.970 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,2T,2022\textos\2022_3T_RR.txt,9.600 milhões R$,2.300 milhões R$,Não informado,Não informado,24.0%,Não informado,Não informado,4.690 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,12.445 bilhões R$,3.550 bilhões R$,8.895 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,10.100 milhões R$,4.000 milhões R$,Não informado,Não informado,39.6%,Não informado,Não informado,8.690 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,17.121 bilhões R$,7.471 bilhões R$,16.374 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,7.800 milhões R$,2.579 milhões R$,Não informado,Não informado,33.1%,Não informado,5.608 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,3.477 milhões R$,631 milhões R$,Não informado,Não informado,18.1%,Não informado,2.917 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,2.000 milhões R$,573 milhões R$,Não informado,Não informado,28.6%,Não informado,1.511 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,21.149 milhões R$,Não informado,3.022 milhões R$,Não informado,Não informado,14.3%,183.8 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-2.726 milhões R$; -1.897 milhões R$; -1.135 milhões R$; -828 milhões R$,-2.060 milhões R$; 605 milhões R$; -1.800 milhões R$; -205 milhões R$; 16 milhões R$; -3.445 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,17.964 milhões R$,3.630 milhões R$,1.333 milhões R$,Não informado,20.2%,7.4%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.124 milhões R$,Não informado,Não informado,12.607 milhões R$,Não informado,Não informado,333 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_4T_RR.txt,21.149 milhões R$,5.369 milhões R$,3.022 milhões R$,Não informado,25.4%,14.3%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.093 milhões R$,Não informado,Não informado,12.856 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,Não informado,21.500 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,10.500 milhões R$,Não informado,Não informado,12.600 milhões R$,Não informado,Não informado,6.100 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,18.000 milhões R$,3.254 milhões R$,1.218 milhões R$,Não informado,18.1%,6.8%,622 milhões R$ (Despesas Vendas Gerais Adm),7.200 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,12.600 milhões R$,3.121 milhões R$,9.486 milhões R$,Não informado,68%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,3T,2022\textos\2022_4T_RR.txt,21.149 milhões R$,5.200 milhões R$,3.022 milhões R$,Não informado,24.6%,14.3%,555 milhões R$ (Despesas Vendas Gerais Adm),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.600 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,21.555 milhões R$,5.220 milhões R$,3.560 milhões R$,Não informado,24.2%,16.5%,633 milhões R$ (Despesas Vendas Gerais Adm),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,Não informado,2022\textos\2022_4T_RR.txt,82.412 milhões R$,20.619 milhões R$,11.480 milhões R$,Não informado,25.0%,13.9%,2.188 milhões R$ (Despesas Vendas Gerais Adm),7.200 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,12.600 milhões R$,3.121 milhões R$,9.486 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,6.900 milhões R$,757 milhões R$,6.083 milhões R$,Não informado,11.0%,88.2%,6.275 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.124 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,"332,7 milhões R$",92%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,6.500 milhões R$,1.824 milhões R$,Não informado,Não informado,28.1%,Não informado,-5.106 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,92%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,3.300 milhões R$,525 milhões R$,Não informado,Não informado,15.9%,Não informado,-2.855 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,17.964 milhões R$,354 milhões R$,1.218 milhões R$,Não informado,2.0%,6.8%,1.241 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,4T,2022\textos\2022_4T_RR.txt,17.964 milhões R$,Não informado,1.218 milhões R$,Não informado,Não informado,6.8%,622 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2022,Não informado,2022\textos\2022_4T_RR.txt,82.412 milhões R$,2.149 milhões R$,11.480 milhões R$,Não informado,2.6%,13.9%,5.532 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,7.822 milhões R$,Não informado,-1.734 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
